playerId,playerName,date,distanceCoveredKm,topSpeedKmh,avgHeartRate,sleepHours,fatigueScore
1,Achraf Hakimi,2026-06-13,13.83,30.6,136,5.1,4
3,Hakim Ziyech,2026-06-28,5.69,30.6,171,8.9,2
5,Yassine Bounou,2026-06-18,9.35,33.9,174,9.0,4
3,Hakim Ziyech,2026-06-29,6.79,33.9,158,6.1,3
3,Hakim Ziyech,2026-06-27,11.47,34.6,169,8.8,10
1,Achraf Hakimi,2026-06-11,12.63,33.8,160,8.8,3
5,Yassine Bounou,2026-06-12,8.01,25.1,164,8.4,6
2,Sofyan Amrabat,2026-06-11,7.62,28.0,176,6.5,4
1,Achraf Hakimi,2026-06-24,11.07,25.1,138,7.2,2
3,Hakim Ziyech,2026-06-13,6.35,31.2,135,8.4,5
4,Brahim Diaz,2026-06-13,13.14,32.8,160,7.1,1
2,Sofyan Amrabat,2026-06-18,6.55,30.2,153,5.7,10
5,Yassine Bounou,2026-06-19,8.16,25.4,145,6.1,4
3,Hakim Ziyech,2026-06-04,8.04,32.7,154,6.6,9
2,Sofyan Amrabat,2026-06-21,13.49,33.4,142,5.2,7
2,Sofyan Amrabat,2026-06-30,10.93,34.7,159,8.1,10
5,Yassine Bounou,2026-06-18,5.38,32.4,144,5.3,3
1,Achraf Hakimi,2026-06-09,5.27,25.1,151,6.2,3
5,Yassine Bounou,2026-06-21,10.60,29.8,168,7.2,6
5,Yassine Bounou,2026-06-02,8.93,32.3,148,6.5,1
4,Brahim Diaz,2026-06-28,5.48,25.6,160,8.0,5
1,Achraf Hakimi,2026-06-04,14.68,34.9,165,5.7,4
5,Yassine Bounou,2026-06-29,12.27,32.8,153,5.4,9
4,Brahim Diaz,2026-06-09,12.54,30.3,134,6.0,6
2,Sofyan Amrabat,2026-06-09,6.93,32.2,138,7.6,10
3,Hakim Ziyech,2026-06-08,8.84,34.7,160,6.2,2
5,Yassine Bounou,2026-06-05,11.22,30.4,142,6.3,8
4,Brahim Diaz,2026-06-09,9.03,27.3,182,6.0,9
1,Achraf Hakimi,2026-06-10,10.46,28.4,141,7.0,7
5,Yassine Bounou,2026-06-17,10.53,34.3,173,6.3,3
2,Sofyan Amrabat,2026-06-20,9.28,33.5,155,8.8,1
2,Sofyan Amrabat,2026-06-30,11.01,29.6,152,5.4,7
5,Yassine Bounou,2026-06-10,5.12,26.0,173,8.8,3
5,Yassine Bounou,2026-06-09,6.71,33.8,149,6.6,5
5,Yassine Bounou,2026-06-12,12.44,30.3,142,5.7,1
2,Sofyan Amrabat,2026-06-21,11.75,26.4,153,8.4,7
2,Sofyan Amrabat,2026-06-13,8.06,31.5,175,6.9,2
2,Sofyan Amrabat,2026-06-04,10.06,33.2,139,5.5,4
2,Sofyan Amrabat,2026-06-06,14.64,26.0,130,6.2,6
5,Yassine Bounou,2026-06-19,10.99,28.2,164,8.7,9
1,Achraf Hakimi,2026-06-09,14.62,34.4,156,7.5,5
1,Achraf Hakimi,2026-06-09,7.90,30.8,143,7.0,1
4,Brahim Diaz,2026-06-12,13.27,29.3,169,5.9,5
2,Sofyan Amrabat,2026-06-22,5.09,29.6,138,5.8,9
1,Achraf Hakimi,2026-06-18,6.33,34.0,171,8.1,7
1,Achraf Hakimi,2026-06-29,14.43,29.8,138,6.1,1
3,Hakim Ziyech,2026-06-10,13.66,29.3,181,8.0,7
1,Achraf Hakimi,2026-06-20,7.12,32.0,149,5.9,6
3,Hakim Ziyech,2026-06-09,13.06,30.7,157,8.3,8
3,Hakim Ziyech,2026-06-19,8.66,26.7,152,6.4,4
5,Yassine Bounou,2026-06-22,9.34,34.1,161,6.3,9
1,Achraf Hakimi,2026-06-22,6.37,32.4,146,5.1,4
1,Achraf Hakimi,2026-06-07,10.34,33.4,136,8.6,1
2,Sofyan Amrabat,2026-06-03,11.75,25.2,171,7.4,2
1,Achraf Hakimi,2026-06-18,10.84,33.7,156,6.6,2
4,Brahim Diaz,2026-06-26,13.83,31.0,145,7.2,1
4,Brahim Diaz,2026-06-28,14.45,26.7,167,8.0,9
3,Hakim Ziyech,2026-06-13,8.33,32.3,178,5.4,10
3,Hakim Ziyech,2026-06-03,13.84,30.4,181,8.6,3
5,Yassine Bounou,2026-06-18,8.21,33.4,156,6.3,2
3,Hakim Ziyech,2026-06-14,10.73,25.7,162,5.2,2
1,Achraf Hakimi,2026-06-21,6.89,34.5,133,7.6,7
5,Yassine Bounou,2026-06-14,11.97,34.8,149,5.9,3
2,Sofyan Amrabat,2026-06-14,9.09,28.1,178,8.2,4
2,Sofyan Amrabat,2026-06-05,9.89,30.2,149,8.4,4
4,Brahim Diaz,2026-06-08,5.08,31.4,146,7.0,7
1,Achraf Hakimi,2026-06-23,6.51,33.2,134,7.5,9
